scorer,,,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation
individuals,,,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2
bodyparts,,,topleft,topleft,rightdown,rightdown,nose,nose,leftear,leftear,rightear,rightear,leftHip,leftHip,rightHip,rightHip,tailBase,tailBase,tailEnd,tailEnd,topleft,topleft,rightdown,rightdown,nose,nose,leftear,leftear,rightear,rightear,leftHip,leftHip,rightHip,rightHip,tailBase,tailBase,tailEnd,tailEnd
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,0023,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_115.png,162.22631573784358,187.5751745878016,319.8845247452017,320.6233217013282,194.86484184217267,196.65162367954176,186.83637763167508,206.80178544235747,210.67737509132436,199.11114110053512,169.91696007966593,249.10032932238033,229.90398594588024,247.5622004540159,189.912635368404,276.01758451875855,307.57949379828597,303.70390414931904,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_210.png,268.0451131495447,177.5942613599138,347.3237403991978,240.86470426107923,279.4795305413216,209.61063005688908,287.86476996195796,191.31556223004605,309.97131025272665,190.5532677372609,320.6434331517184,192.8401512156163,338.9385009785614,208.08604107131885,319.88113865893325,214.18439701359964,309.2090157599415,225.61881440537653,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_231.png,146.84028879670976,189.79097324447577,338.9385009785614,285.0777848426165,156.75011720291639,220.28275295588077,181.90583546482554,198.93850715789728,205.53696474116444,211.8975135352444,216.20908764015618,198.17621266511213,246.70086735156121,227.90569788373205,256.61069575776787,239.34011527550894,322.9303166300738,237.8155262899387,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_328.png,146.0779943039246,202.74997962182283,366.38110271882596,348.34822774378193,159.79929517405688,269.0696004941288,174.28289053697426,230.19258136208742,195.62713633495775,226.38110889816167,183.43042445039578,265.2581280302032,255.08610677219758,266.0204225229883,239.07792242370994,298.0367912199636,348.08603489198293,336.15151585921996,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_409.png,232.2172719886438,174.54508338877326,393.06140996630535,230.95487585487263,240.60251140928023,214.18439701359978,242.12710039485046,197.41391817232704,248.22545633713145,195.12703469397147,292.4385369186688,198.93850715789733,303.1106598176605,191.31556223004586,313.0204882238671,205.79915759296347,378.57781460338794,225.61881440537672,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_853.png,131.59439894100723,208.84833556410388,364.0942192404706,335.3892213664348,145.3156998111395,277.45483991476516,160.56158966684202,241.6269987538643,174.28289053697426,222.56963643423614,247.46316184434636,279.7417233931206,258.8975792361232,238.57782078272365,286.3401809763877,267.5450115085586,338.1762064857763,291.93843527768263,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_1015.png,460.1433253313964,207.32374657853376,596.5940395399339,319.3810370179473,489.8728105500163,308.7089141189555,540.1842470738346,261.4466555662773,503.5941114201486,255.34829962399633,579.061266205876,259.922066580707,553.9055479439668,241.62699875386406,543.9957195377602,239.34011527550868,480.7252766365948,218.75816397031028,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_1038.png,442.6105519973385,208.84833556410368,540.9465415666197,294.98761324882287,476.15150967988404,264.49583353741787,470.81544823038814,237.81552628993845,477.6760986654542,233.2417593332277,489.8728105500163,241.62699875386406,518.0777067830659,240.10240976829382,500.544933449008,266.7827170157732,463.954797795322,288.8892573065418,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_232.png,441.8482575045534,109.75005150203734,532.5613021459833,301.0859691911039,481.48757112937994,118.1352909226737,467.00397576646253,128.80741382166545,491.3973995355865,127.28282483609522,470.053153737603,206.5614520857483,495.97116649229724,206.5614520857483,484.5367491005204,234.00405382601284,489.11051605723117,293.4630242632526,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_241.png,397.6351769230161,195.1270346939714,498.2580499706527,289.65155179932697,475.3892151870989,234.76634831879792,438.79907953341285,217.23357498474005,472.3400372159584,212.6598080280293,422.7908951849252,243.15158773943435,470.81544823038814,254.58600513121124,448.7089079396195,272.1187784652691,465.47938678089224,288.1269628137568,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_278.png,329.7909670651399,201.9876851290376,552.3809589583966,334.6269268736494,,,366.3811027188259,221.0450474486657,409.06959431479294,234.76634831879792,357.99586329818953,260.68436107349225,412.8810667787186,259.15977208792197,399.15976590858634,279.7417233931204,535.6104801171239,323.9548039746576,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_330.png,50.028888212998794,54.10255352872332,167.4222401019082,303.37285266945935,73.66001748933769,67.82385439885556,100.34032473681707,71.6353268627812,107.96326966466835,79.25827179063245,84.33214038832945,135.66806425673175,111.01244763580884,143.29100918458298,101.10261922960221,158.53689904028553,150.6517612606354,288.88925730654205,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_462.png,62.225600097560815,147.8647761412938,193.34025285660243,303.37285266945935,174.28289053697426,253.8237106384262,161.32388415962714,185.97950078055,175.8074795225445,214.94669150638478,88.9059073450402,177.59426135991365,118.63539256366009,205.03686310017818,95.76655778010631,220.28275295588068,175.80747952254455,289.6515517993271,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_484.png,125.49604299872622,193.6024457084013,313.78278271665226,278.21713440755013,303.1106598176605,257.6351831023518,286.3401809763877,223.33193092702115,300.06148184652,238.57782078272365,224.59432706079258,218.7581639703104,239.07792242370994,238.57782078272365,207.0615537267347,249.24994368171545,147.60258328949487,253.06141614564106,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_542.png,7.340396617031757,6.840294976045527,165.1353566235528,307.18432513338496,22.586286472734272,51.053375557582825,42.40594328514753,17.512417875037272,50.79118270578391,24.373068310103406,69.08625053262695,124.99594135774001,88.14361285225509,112.03693498039286,78.99607893883358,159.29919353307062,139.97963836164365,291.9384352776825,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_611.png,46.21741574907317,51.0533755575828,114.06162560694933,202.7499796218228,61.463305604775684,118.89758541545899,80.52066792440382,99.84022309583085,61.463305604775684,90.69268918240934,99.57803024403195,98.31563411026059,79.7583734316187,56.38943700707867,,,,,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_673.png,118.63539256366009,206.5614520857484,373.2417531538921,295.749907741608,139.97963836164365,257.6351831023518,155.98782271013124,231.71717034765757,159.79929517405685,221.04504744866583,225.35662155357767,245.43847121778978,232.2172719886438,231.71717034765751,252.7992232938422,264.495833537418,348.08603489198293,276.69254542197996,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_713.png,342.74997344248703,214.18439701359958,602.6923954822149,325.47939296022787,583.6350331625868,316.33185904680636,588.2088001192975,257.6351831023517,557.7170204078925,266.7827170157732,547.8071920016858,233.2417593332277,520.3645902614213,257.6351831023517,492.15969402837163,269.0696004941286,367.14339721161105,282.02860687147574,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_806.png,420.5040117065698,224.85651991259132,613.3645183812066,336.15151585921956,599.6432175110743,298.03679121996333,575.2497937419504,253.82371063842604,591.257978090438,270.5941894796988,506.64328939128904,254.58600513121118,516.5531177974957,277.454839914765,478.43839315823936,305.65973614781467,559.2416093934627,322.4302149890874,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_87.png,103.38950270795759,131.094297300021,309.2090157599415,289.6515517993271,131.59439894100723,147.86477614129373,142.26652183999897,144.8155981701532,164.3730621307676,149.38936512686396,161.32388415962714,237.05323179715342,186.4796024215363,230.95487585487243,191.05336937824706,246.96306020336007,291.67624242588363,272.1187784652692,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_933.png,99.34176197286119,69.42087934612385,219.32800334255143,279.6719995443883,,,131.26470692443016,77.12641778270947,,,131.26470692443016,154.1818021485656,153.28053102896047,157.48417576424512,146.67578379760138,182.802373484455,195.1105968275681,262.0593402607641,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_348.png,388.84984894743485,202.61661517853221,573.7827714254895,328.106812574355,424.07516751468336,306.09098846982477,462.60285969761145,311.5949444959573,457.09890367147887,287.3775379809739,517.6424199589372,293.98228521233307,503.3321342909925,267.5632962868966,529.7511232164289,275.2688347234822,517.6424199589372,219.12848325692997,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_393.png,179.69951995439686,103.54540670814586,431.780705951269,169.59287902173676,197.31217923802112,146.47626371197995,209.42088249551279,140.97230768584737,212.72325611119234,118.95648358131703,276.5691460143303,138.7707252753943,276.5691460143303,117.8556923760905,302.9881349397666,131.06518683880873,405.3617170258326,131.06518683880867,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_458.png,69.62039943174527,142.0730988910739,308.4920909658992,319.3004829325429,100.4425531780877,160.78654937992465,115.85363005125893,193.81028553672016,134.5670805401097,168.4920878165103,170.89319031258472,254.35380182417853,184.10268477530292,237.84193374578078,194.00980562234156,257.6561754398581,289.77864047704844,290.6799115966535,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_570.png,168.6916079021317,93.63828586110719,365.73323363767804,187.205538305361,343.7174095331477,123.35964840222309,322.8023766338439,102.44461550291928,332.70949748088253,122.25885719699662,268.86360757774463,123.35964840222309,283.1738932456893,144.2746813015269,249.04936588366735,145.37547250675343,196.2113880327946,177.2984174583224,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_669.png,2.472135912927797,188.30632951058757,169.79239910735822,302.7886148541452,23.387168812231597,233.43876892487472,18.984003991325533,253.253010618952,24.487960017458118,213.62452723079744,94.93859715195514,259.85775785031115,98.24097076763468,222.43085687260955,122.45837728261802,235.64035133532778,156.58290464464002,243.34588977191336,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_1069.png,174.19556392826428,196.01186794717316,373.4387720742636,270.8656699025762,201.71534405892717,263.1601314659906,219.3280033425514,240.04351615623384,219.32800334255143,225.73323048828908,285.3754756561424,233.43876892487467,279.8715196300098,211.42294482034433,311.7944645815787,234.5395601301012,351.42294796973334,227.93481289874208,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_1257.png,190.707432006662,199.31424156285274,422.97437630945683,278.5712083391618,403.1601346153796,258.7569666450845,387.7490577422084,211.42294482034438,394.35380497356743,226.83402169351555,317.29842060771136,218.02769205170344,334.9110798913356,251.05142820849895,282.0731020404628,254.35380182417848,211.6224649059658,221.33006566738302,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_127.png,328.3063326599765,178.39920866354888,432.8814971564955,255.454593029405,343.7174095331477,218.02769205170344,347.0197831488273,199.3142415628527,355.8261127906394,196.01186794717316,381.14431051084927,203.71740638375874,393.2530137683409,196.01186794717316,399.8577609997,216.9269008464769,395.4545961787939,247.74905459281936,,,,,,,,,,,,,,,,,,
